repo,iteration,metric,value
PropagandaWar_TIFS_2024_Code,27,strategy_change,0.008661246986818139
PropagandaWar_TIFS_2024_Code,28,strategy_change,0.007362059938795351
PropagandaWar_TIFS_2024_Code,29,strategy_change,0.006257750947975982
PropagandaWar_TIFS_2024_Code,30,strategy_change,0.005319088305779651
PropagandaWar_TIFS_2024_Code,31,strategy_change,0.0045212250599129256
PropagandaWar_TIFS_2024_Code,32,strategy_change,0.0038430413009260533
PropagandaWar_TIFS_2024_Code,33,strategy_change,0.0032665851057869233
PropagandaWar_TIFS_2024_Code,34,strategy_change,0.0027765973399187516
PropagandaWar_TIFS_2024_Code,35,strategy_change,0.0023601077389310277
PropagandaWar_TIFS_2024_Code,36,strategy_change,0.0020060915780915067
PropagandaWar_TIFS_2024_Code,37,strategy_change,0.001705177841377914
PropagandaWar_TIFS_2024_Code,38,strategy_change,0.007344580691708957
PropagandaWar_TIFS_2024_Code,39,strategy_change,0.006242893587952603
PropagandaWar_TIFS_2024_Code,40,strategy_change,0.005306459549759612
PropagandaWar_TIFS_2024_Code,41,strategy_change,0.004510490617295693
PropagandaWar_TIFS_2024_Code,42,strategy_change,0.003833917024701261
PropagandaWar_TIFS_2024_Code,43,strategy_change,0.003258829470996094
PropagandaWar_TIFS_2024_Code,44,strategy_change,0.0027700050503467466
PropagandaWar_TIFS_2024_Code,45,strategy_change,0.0023545042927948234
PropagandaWar_TIFS_2024_Code,46,strategy_change,0.002001328648875589
PropagandaWar_TIFS_2024_Code,47,strategy_change,0.001701129351544095
PropagandaWar_TIFS_2024_Code,48,strategy_change,0.0014459599488125807
PropagandaWar_TIFS_2024_Code,49,strategy_change,0.001229065956490638
PropagandaWar_TIFS_2024_Code,50,strategy_change,0.0010447060630169869
PropagandaWar_TIFS_2024_Code,51,strategy_change,0.0008880001535644944
PropagandaWar_TIFS_2024_Code,52,strategy_change,0.0007548001305297536
PropagandaWar_TIFS_2024_Code,53,strategy_change,0.0006415801109502794
PropagandaWar_TIFS_2024_Code,54,strategy_change,0.0005453430943078708
PropagandaWar_TIFS_2024_Code,55,strategy_change,0.00046354163016171235
PropagandaWar_TIFS_2024_Code,56,strategy_change,0.0003940103856374666
PropagandaWar_TIFS_2024_Code,57,strategy_change,0.0003349088277917467
PropagandaWar_TIFS_2024_Code,58,strategy_change,0.0002846725036229625
PropagandaWar_TIFS_2024_Code,59,strategy_change,0.0002419716280794848
PropagandaWar_TIFS_2024_Code,60,strategy_change,0.00020567588386755098
Propaganda_TCSS_2025_Code,1,profit_change,20.095672180550075
Propaganda_TCSS_2025_Code,2,profit_change,2.0671762895028962
Propaganda_TCSS_2025_Code,3,profit_change,0.06376374557518716
Propaganda_TCSS_2025_Code,4,profit_change,0.04717134228414466
Propaganda_TCSS_2025_Code,5,profit_change,0.009690201819694266
